panelNumber,plantNumber,address,city,state,market,geopathId,size,illuminated,facing,type,lat,lng,traffic,weeklyImpressions,approachPhotoFile,screenshotFile,approachPhotoUrl,sourceUrl,scrapedAt,error
72511,434,"I-49 E/S, AT MM 72.5, 651 Rio Bravo Dr., Springdale, AR, N/F (D25N1)",Springdale,AR,SPRINGDALE,30609713,"12' 0"" x 40' 0""",YES,North / Left Video Drive-By,Permanent Bulletin - Digital,36.17993567,-94.17991695,,"167,957 per spot*",images/panel_72511_approach.jpg,images/panel_72511_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/72511/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=72511&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:40:35.308Z,
72521,434,"I-49 E/S, AT MM 72.5, 651 Rio Bravo Dr., Springdale, AR, S/F ((D25S1)",Springdale,AR,SPRINGDALE,30609714,"10' 6"" x 36' 0""",YES,South / Right Video Drive-By,Permanent Bulletin - Digital,36.17993567,-94.17991695,,"179,864 per spot*",images/panel_72521_approach.jpg,images/panel_72521_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/72521/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=72521&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:40:35.277Z,
72821,434,"I-49 W/S, AT MM 73.5, 4774 Elm Springs Rd., Springdale, AR, S/F (D28S1)",Springdale,AR,SPRINGDALE,30609720,"12' 0"" x 40' 0""",YES,South / Left Video Drive-By,Permanent Bulletin - Digital,36.19877477,-94.18195134,,"196,743 per spot*",images/panel_72821_approach.jpg,images/panel_72821_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/72821/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=72821&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:40:26.601Z,
73831,434,"1015 SW Regional Airport Blvd S/S, Bentonville, AR-1 (1F-F38W1)",Bentonville,AR,BENTONVILLE,50670221,"12' 0"" x 35' 0""",YES,West / Right Video Drive-By,Permanent Bulletin - Digital,36.33548334,-94.22374061,,"331,458 per spot*",images/panel_73831_approach.jpg,images/panel_73831_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/73831/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=73831&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:39:59.951Z,
73841,434,"1015 SW Regional Airport Blvd S/S, Bentonville, AR, E/F (D38E1)",Bentonville,AR,BENTONVILLE,30609535,"10' 6"" x 36' 0""",YES,East / Left Video Drive-By,Permanent Bulletin - Digital,36.33548334,-94.22374061,,"125,816 per spot*",images/panel_73841_approach.jpg,images/panel_73841_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/73841/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=73841&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:39:59.993Z,
76211,434,"I-49 W/S, AT MM 85, 3609 Moberly Lane, Bentonville, AR (D62N1)",Bentonville,AR,BENTONVILLE,30609568,"12' 0"" x 40' 0""",YES,North / Right Video Drive-By,Permanent Bulletin - Digital,36.33389195,-94.18483746,,"184,024 per spot*",images/panel_76211_approach.jpg,images/panel_76211_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/76211/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=76211&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:40:09.293Z,
76221,434,"I-49 W/S, AT MM 85, 3609 Moberly Lane, Bentonville, AR (D62S1)",Bentonville,AR,BENTONVILLE,30609569,"12' 0"" x 40' 0""",YES,South / Left Video Drive-By,Permanent Bulletin - Digital,36.33389195,-94.18483746,,"74,188 per spot*",images/panel_76221_approach.jpg,images/panel_76221_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/76221/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=76221&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:40:09.165Z,
76311,434,"14th and S. Walton E/S, Bentonville, AR, N/F (D63N1)",Bentonville,AR,BENTONVILLE,30609570,"9' 0"" x 32' 0""",YES,North / Left Video Drive-By,Permanent Bulletin - Digital,36.35672137,-94.21256944,,"206,166 per spot*",images/panel_76311_approach.jpg,images/panel_76311_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/76311/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=76311&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:42:15.043Z,
76321,434,"14th and S. Walton E/S, Bentonville, AR, S/F (D63S1)",Bentonville,AR,BENTONVILLE,30609571,"9' 0"" x 32' 0""",YES,South / Right Video Drive-By,Permanent Bulletin - Digital,36.35672137,-94.21256944,,"184,507 per spot*",images/panel_76321_approach.jpg,images/panel_76321_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/76321/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=76321&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:42:15.118Z,
76341,434,"14th and S. Walton E/S, Bentonville, AR, E/F (D63E1)",Bentonville,AR,BENTONVILLE,30722602,"10' 0"" x 22' 0""",YES,East / Left Video Drive-By,Poster - Digital,36.35672137,-94.21256944,,"211,224 per spot*",images/panel_76341_approach.jpg,images/panel_76341_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/76341/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=76341&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:42:15.176Z,
76512,434,"92 US 71, Jane, MO W/S, N/F (D65N1)",Jane,MO,JANE,50786553,"9' 0"" x 32' 0""",NO,North / Right Video Drive-By,Permanent Bulletin - Digital,36.50315434,-94.27662134,,"104,373 per spot*",images/panel_76512_approach.jpg,images/panel_76512_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/76512/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=76512&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:41:57.381Z,
77831,434,"6006 W. Sunset N/S, Springdale, AR (Crain GMC), W/F (D78W1)",Springdale,AR,SPRINGDALE,30609729,"10' 0"" x 30' 0""",YES,West / Left Video Drive-By,Permanent Bulletin - Digital,36.17582778,-94.19714722,,"70,111 per spot*",images/panel_77831_approach.jpg,images/panel_77831_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/77831/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=77831&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:40:26.880Z,
77911,434,"I-49 W/S, AT MM 78, Lowell, AR, N/F (D79N1)",Lowell,AR,ROGERS,30609572,"14' 0"" x 48' 0""",YES,North / Right Video Drive-By,Permanent Bulletin - Digital,36.2678335,-94.15085122,,"268,655 per spot*",images/panel_77911_approach.jpg,images/panel_77911_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/77911/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=77911&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:40:18.103Z,
77921,434,"I-49 W/S, AT MM 78, Lowell, AR, SF (F79S1)",Lowell,AR,ROGERS,50670220,"12' 0"" x 42' 0""",YES,South / Left Video Drive-By,Permanent Bulletin - Digital,36.2678335,-94.15085122,,"203,949 per spot*",images/panel_77921_approach.jpg,images/panel_77921_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/77921/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=77921&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:40:18.015Z,
78111,434,"I-49 E/S, AT MM 82, Rogers, AR, N/F (D81N1)",Rogers,AR,ROGERS,30609576,"10' 0"" x 36' 0""",YES,North / Left Video Drive-By,Permanent Bulletin - Digital,36.28887922,-94.16001514,,"156,374 per spot*",images/panel_78111_approach.jpg,images/panel_78111_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/78111/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=78111&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:40:18.005Z,
78121,434,"I-49 E/S, AT MM 82, Rogers, AR, S/F (D81S1)",Rogers,AR,ROGERS,30609577,"10' 0"" x 36' 0""",YES,South / Right Video Drive-By,Permanent Bulletin - Digital,36.28887922,-94.16001514,,"219,436 per spot*",images/panel_78121_approach.jpg,images/panel_78121_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/78121/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=78121&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:40:09.311Z,
78231,434,"401 SE Walton N/S, Bentonville, AR, W/F (D82W1)",Bentonville,AR,BENTONVILLE,30609578,"9' 0"" x 32' 0""",YES,West / Left Video Drive-By,Permanent Bulletin - Digital,36.33566111,-94.20545833,,"109,581 per spot*",images/panel_78231_approach.jpg,images/panel_78231_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/78231/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=78231&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:40:00.037Z,
78241,434,"401 SE Walton N/S, Bentonville, AR, E/F (D82E1)",Bentonville,AR,BENTONVILLE,30609579,"9' 0"" x 32' 0""",YES,East / Right Video Drive-By,Permanent Bulletin - Digital,36.33566111,-94.20545833,,"109,946 per spot*",images/panel_78241_approach.jpg,images/panel_78241_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/78241/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=78241&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:40:09.176Z,
78531,434,"1080 SE 14th St S/S, Bentonville, AR, W/F",Bentonville,AR,BENTONVILLE,30899915,"10' 0"" x 30' 0""",YES,West / Right Video Drive-By,Permanent Bulletin - Digital,36.35646027,-94.19786173,,"143,571 per spot*",images/panel_78531_approach.jpg,images/panel_78531_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/78531/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=78531&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:42:06.691Z,
78541,434,"1080 SE 14th St S/S, Bentonville, AR, E/F",Bentonville,AR,BENTONVILLE,30899914,"10' 0"" x 30' 0""",YES,East / Left Video Drive-By,Permanent Bulletin - Digital,36.35646027,-94.19786173,,"120,643 per spot*",images/panel_78541_approach.jpg,images/panel_78541_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/78541/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=78541&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:42:15.040Z,
78631,434,"3158 SE 14th St, Bentonville, AR S/S, W/F",Bentonville,AR,BENTONVILLE,30899917,"10' 0"" x 30' 0""",YES,West / Right Video Drive-By,Permanent Bulletin - Digital,36.356029,-94.175094,,"105,123 per spot*",images/panel_78631_approach.jpg,images/panel_78631_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/78631/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=78631&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:41:57.236Z,
78641,434,"3158 SE 14th St, Bentonville, AR S/S, E/F",Bentonville,AR,BENTONVILLE,30899916,"10' 0"" x 30' 0""",YES,East / Left Video Drive-By,Permanent Bulletin - Digital,36.356029,-94.175094,,"227,848 per spot*",images/panel_78641_approach.jpg,images/panel_78641_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/78641/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=78641&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:42:06.629Z,
121210,434,"Hwy 62 S/S, 0.70 mi E/O SH 170, 245 E. Main St, Farmington, AR, E/F",Farmington,AR,FARMINGTON,31031317,"9' 0"" x 32' 0""",YES,East / Left Video Drive-By,Permanent Bulletin - Digital,36.04522207,-94.22941474,,"78,687 per spot*",images/panel_121210_approach.jpg,images/panel_121210_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/121210/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=121210&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:41:09.054Z,
121310,434,"Hwy 62 S/S, 0.70 mi E/O SH 170, 245 E. Main St, Farmington, AR, W/F",Farmington,AR,FARMINGTON,31031318,"9' 0"" x 32' 0""",YES,West / Right Video Drive-By,Permanent Bulletin - Digital,36.04522207,-94.22941474,,"229,629 per spot*",images/panel_121310_approach.jpg,images/panel_121310_screenshot.png,https://resources.lamar.com/SMCoreServices/public/materials/photos/photo/byPlantPanel/434/121310/PhotosheetApproach/?width=900,https://apps.lamar.com/salesmarketing/webresources/content/proposals/photosheet.html?plantNumber=434&panelNumber=121310&photoType=PhotosheetApproach&orientation=landscape,2026-07-08T00:41:09.048Z,